"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_parent","post_author","comment_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","regular_price","sale_price","weight","length","width","height","tax_status","tax_class","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","meta:_yoast_wpseo_focuskw","meta:_yoast_wpseo_title","meta:_yoast_wpseo_metadesc","meta:_yoast_wpseo_metakeywords","images","downloadable_files","tax:product_type","tax:product_cat","tax:product_tag","tax:product_shipping_class","meta:total_sales","attribute:pa_chain","attribute_data:pa_chain","attribute_default:pa_chain","attribute:pa_color","attribute_data:pa_color","attribute_default:pa_color","attribute:pa_diamonds","attribute_data:pa_diamonds","attribute_default:pa_diamonds","attribute:pa_lock","attribute_data:pa_lock","attribute_default:pa_lock","attribute:pa_material","attribute_data:pa_material","attribute_default:pa_material","attribute:pa_measure","attribute_data:pa_measure","attribute_default:pa_measure","attribute:pa_movement","attribute_data:pa_movement","attribute_default:pa_movement"
"PF052 DB","pf052-db","1685","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:25","0","1","open","PF052 DB VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf052-db/PF052-DB.jpg | http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf052-db/PF052-DB_zoom.jpg","","variable","Eggs > Peter Carl Fabergé","","","0","","","","DB|DBS|R","0|1|1","db","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","19 mm","0|1|0","","","",""
"PF054 DB","pf054-db","1686","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:25","0","1","open","PF054 DB VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf054-db/PF054-DB.jpg | http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf054-db/PF054-DB_zoom.jpg","","variable","Eggs > Peter Carl Fabergé","","","0","","","","DB|GR|R","0|1|1","db","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","19 mm","0|1|0","","","",""
"PF055 DB","pf055-db","1687","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:25","0","1","open","PF055 DB VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf055-db/PF055-DB.jpg | http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf055-db/PF055-DB_zoom.jpg","","variable","Eggs > Peter Carl Fabergé","","","0","","","","DB|GR|w","0|1|1","db","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","19 mm","0|1|0","","","",""
"PF050 DB","pf050-db","1688","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:25","0","1","open","PF050 DB VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf050-db/PF050-DB.jpg | http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf050-db/PF050-DB_zoom.jpg","","variable","Eggs > Peter Carl Fabergé","","","0","","","","DB|R|w","0|1|1","db","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","19 mm","0|1|0","","","",""
"PF051 DB","pf051-db","1689","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:26","0","1","open","PF051 DB VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf051-db/PF051-DB.jpg | http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf051-db/PF051-DB_zoom.jpg","","variable","Eggs > Peter Carl Fabergé","","","0","","","","DB|R|w","0|1|1","db","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","19 mm","0|1|0","","","",""
"PF053 GR","pf053-dbs","1690","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:26","0","1","open","PF053 GR VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf053-gr/PF053-GR.jpg | http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf053-gr/PF053-GR_zoom.jpg","","variable","Eggs > Peter Carl Fabergé","","","0","","","","DBS|GR|R","0|1|1","gr","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","19 mm","0|1|0","","","",""
"R001149-G-LB","r001149-g-lb","1691","Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.","Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.","private","0","2016-03-11 15:37:26","0","1","open","R001149-G-LB VARIABLE","no","no","visible","0","instock","no","no","108,00","","","","","","taxable","","","","no","","","","","","","","","","","","","variable","Eggs > Olga","","","0","","","","G-LB|G-V|G-Y","0|1|1","G-LB","","","","","","","","","","19 mm","0|1|0","19 mm","","",""
"CL002 LB","cl002-lb","1692","Maison Tatiana Fabergé presents a range of products exclusively designed for men. TF Homme collection gives the wearer a sophisticated and elegant look.","Maison Tatiana Fabergé presents a range of products exclusively designed for men. TF Homme collection gives the wearer a sophisticated and elegant look.","publish","0","2016-03-11 15:37:26","0","1","open","CL002 LB VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl002-lb/CL002LB.jpg | http://localhost/faberge/app/uploads/product/tf-homme/cl002-lb/CL002LB_zoom.jpg","","variable","TF Homme","","","0","","","","GR|LB|w","0|1|1","lb","","","","","","","Gold plated or white rhodium plated 925 silver, enamel","2|1|1","","19 mm","1|1|0","","","",""
"CL006 DBS","cl006-dbs","1694","Maison Tatiana Fabergé presents a range of products exclusively designed for men. TF Homme collection gives the wearer a sophisticated and elegant look.","Maison Tatiana Fabergé presents a range of products exclusively designed for men. TF Homme collection gives the wearer a sophisticated and elegant look.","publish","0","2016-03-11 15:37:27","0","1","open","CL006 DBS VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl006-dbs/CL006DBS.jpg | http://localhost/faberge/app/uploads/product/tf-homme/cl006-dbs/CL006DBS_zoom.jpg","","variable","TF Homme","","","0","","","","DBS|GRS|RS","0|1|1","dbs","","","","","","","Gold plated or white rhodium plated 925 silver, enamel","2|1|1","","20 mm","1|1|0","","","",""
"CL003 LBS","cl003-lbs","1695","Maison Tatiana Fabergé presents a range of products exclusively designed for men. TF Homme collection gives the wearer a sophisticated and elegant look.","Maison Tatiana Fabergé presents a range of products exclusively designed for men. TF Homme collection gives the wearer a sophisticated and elegant look.","publish","0","2016-03-11 15:37:27","0","1","open","CL003 LBS VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl003-lbs/CL003LBS.jpg | http://localhost/faberge/app/uploads/product/tf-homme/cl003-lbs/CL003LBS_zoom.jpg","","variable","TF Homme","","","0","","","","LBS|R|w","0|1|1","lbs","","","","","","","Gold plated or white rhodium plated 925 silver, enamel","2|1|1","","20 mm","1|1|0","","","",""
"R000816-B-W","r000816-b-w","1696","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","pending","0","2016-03-11 15:37:27","0","1","open","R000816-B-W","no","no","visible","0","instock","no","no","128,00","","","","","","taxable","","","","no","","","","","","","","","","","","","simple","Eggs > Alexandra","","","0","","","","B-W","0|1|0","B-W","","","","","","","Black rhodium silver with white agate","0|1|0","","20 mm","0|1|0","20 mm","","",""
"R000816-G-W","r000816-g-w","1697","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","pending","0","2016-03-11 15:37:27","0","1","open","R000816-G-W","no","no","visible","0","instock","no","no","128,00","","","","","","taxable","","","","no","","","","","","","","","","","","","simple","Eggs > Alexandra","","","0","","","","G-W","0|1|0","G-W","","","","","","","Gold plated silver with white agate","0|1|0","","20 mm","0|1|0","20 mm","","",""
"R000817-B-W","r000817-b-w","1698","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","pending","0","2016-03-11 15:37:27","0","1","open","R000817-B-W","no","no","visible","0","instock","no","no","128,00","","","","","","taxable","","","","no","","","","","","","","","","","","","simple","Eggs > Alexandra","","","0","","","","B-W","0|1|0","B-W","","","","","","","Black rhodium silver with white agate","0|1|0","","20 mm","0|1|0","20 mm","","",""
"R000817-G-W","r000817-g-w","1699","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","pending","0","2016-03-11 15:37:27","0","1","open","R000817-G-W","no","no","visible","0","instock","no","no","128,00","","","","","","taxable","","","","no","","","","","","","","","","","","","simple","Eggs > Alexandra","","","0","","","","G-W","0|1|0","G-W","","","","","","","Gold plated silver with white agate","0|1|0","","20 mm","0|1|0","20 mm","","",""
"R000818-B-W","r000818-b-w","1700","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","pending","0","2016-03-11 15:37:27","0","1","open","R000818-B-W","no","no","visible","0","instock","no","no","128,00","","","","","","taxable","","","","no","","","","","","","","","","","","","simple","Eggs > Alexandra","","","0","","","","B-W","0|1|0","B-W","","","","","","","Black rhodium silver with white agate","0|1|0","","20 mm","0|1|0","20 mm","","",""
"R000818-G-W","r000818-g-w","1701","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","pending","0","2016-03-11 15:37:27","0","1","open","R000818-G-W","no","no","visible","0","instock","no","no","128,00","","","","","","taxable","","","","no","","","","","","","","","","","","","simple","Eggs > Alexandra","","","0","","","","G-W","0|1|0","G-W","","","","","","","Gold plated silver with white agate","0|1|0","","20 mm","0|1|0","20 mm","","",""
"PF006 B","pf006-b","1702","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:27","0","1","open","PF006 B VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf006-b/PF006-B.jpg | http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf006-b/PF006-B_zoom.jpg","","variable","Eggs > Peter Carl Fabergé","","","0","","","","B|BS|DB|GR|R|w","0|1|1","b","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"23929 B","23929-b","1703","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","publish","0","2016-03-11 15:37:27","0","1","open","23929 B VARIABLE","no","no","visible","0","instock","no","no","214,00","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/anastasija/23929-b/23929-B.jpg","","variable","Eggs > Anastasija","","","0","","","","B|DB|DBS|R|w","0|1|1","b","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"23802 B","23802-b","1704","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","publish","0","2016-03-11 15:37:27","0","1","open","23802 B VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/anastasija/23802-b/23802-B.jpg","","variable","Eggs > Anastasija","","","0","","","","B|DB|GR|R","2|1|1","b","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","1|1|0","","","",""
"01482 B","01482-b","1705","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","publish","0","2016-03-11 15:37:27","0","1","open","01482 B VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/emperor/01482-b/01482-B.jpg | http://localhost/faberge/app/uploads/product/emperor/01482-b/01482-B_zoom.jpg","","variable","Eggs > Emperor","","","0","","","","B|DB|R|w","0|1|1","b","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"PF019 B","pf019-b","1706","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:27","0","1","open","PF019 B VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf019-b/PF019-B.jpg | http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf019-b/PF019-B_zoom.jpg","","variable","Eggs > Peter Carl Fabergé","","","0","","","","B|DB|TB","0|1|1","b","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"PF026 B","pf026-b","1707","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:28","0","1","open","PF026 B VARIABLE","no","no","visible","0","instock","no","no","214,00","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf026-b/PF026-B.jpg","","variable","Eggs > Peter Carl Fabergé","","","0","","","","B|GR","0|1|1","b","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"23782 B","23782-b","1708","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","publish","0","2016-03-11 15:37:28","0","1","open","23782 B VARIABLE","no","no","visible","0","instock","no","no","214,00","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/anastasija/23782-b/23782-B.jpg","","variable","Eggs > Anastasija","","","0","","","","B|GR|R|w","0|1|1","b","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"PF024 B","pf024-b","1709","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:28","0","1","open","PF024 B VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf024-b/PF024-B.jpg | http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf024-b/PF024-B_zoom.jpg","","variable","Eggs > Peter Carl Fabergé","","","0","","","","B|R","0|1|1","b","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"PF030 B","pf030-b","1710","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:28","0","1","open","PF030 B","no","no","visible","0","instock","no","no","214.00","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf030-b/PF030-B.jpg | http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf030-b/PF030-B_zoom.jpg","","simple","Eggs > Peter Carl Fabergé","","","0","","","","B","2|1|1","b","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","1|1|0","","","",""
"PF004 B","pf004-b","1711","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:29","0","1","open","PF004 B VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf004-b/PF004-B.jpg | http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf004-b/PF004-B_zoom.jpg","","variable","Eggs > Peter Carl Fabergé","","","0","","","","B|R|TB","0|1|1","b","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"23910 BG","23910-bg","1712","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","publish","0","2016-03-11 15:37:29","0","1","open","23910 BG VARIABLE","no","no","visible","0","instock","no","no","214,00","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/anastasija/23910-bg/23910-BG.jpg","","variable","Eggs > Anastasija","","","0","","","","BG|BS|DB|DBS|DV|GR|R|w","0|1|1","bg","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"63006 BG","63006-bg","1713","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","publish","0","2016-03-11 15:37:29","0","1","open","63006 BG VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/emperor/63006-bg/63006-BG.jpg | http://localhost/faberge/app/uploads/product/emperor/63006-bg/63006-BG_zoom.jpg","","variable","Eggs > Emperor","","","0","","","","BG|BS|DBS|R","0|1|1","bg","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"PF031 DB","pf031-db","1714","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:29","0","1","open","PF031 DB","no","no","visible","0","instock","no","no","214.00","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf031-db/PF031-B.jpg | http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf031-db/PF031-B_zoom.jpg","","simple","Eggs > Peter Carl Fabergé","","","0","","","","B","0|1|1","b","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"PF015 DB","pf015-db","1715","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:29","0","1","open","PF015 DB VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf015-db/PF015-B.jpg | http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf015-db/PF015-B_zoom.jpg","","variable","Eggs > Peter Carl Fabergé","","","0","","","","B|DB|GR|R|w","0|1|1","b","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"PF003 DB","pf003-db","1716","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:29","0","1","open","PF003 DB VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf003-db/PF003-DB.jpg | http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf003-db/PF003-DB_zoom.jpg","","variable","Eggs > Peter Carl Fabergé","","","0","","","","DB|GR|R|TB","0|1|1","db","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"PF029 DB","pf029-db","1717","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:29","0","1","open","PF029 DB VARIABLE","no","no","visible","0","instock","no","no","214,00","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf029-db/PF029-DB.jpg","","variable","Eggs > Peter Carl Fabergé","","","0","","","","DB|GR|R|TB","0|1|1","db","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"23927 DB","23927-db","1718","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","publish","0","2016-03-11 15:37:29","0","1","open","23927 DB VARIABLE","no","no","visible","0","instock","no","no","214,00","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/anastasija/23927-db/23927-DB.jpg","","variable","Eggs > Anastasija","","","0","","","","DB|R","0|1|1","db","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"PF010 DB","pf010-db","1719","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:29","0","1","open","PF010 DB VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf010-db/PF010-DB.jpg | http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf010-db/PF010-DB_zoom.jpg","","variable","Eggs > Peter Carl Fabergé","","","0","","","","DB|R","0|1|1","db","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
